cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45105549976,ernisunar_08,Erus KH besar,Erus plastik kh tebal ukuran besar dan kecil -  sendok sup sayur besar grosir,5,,2025-05-29 11:47:34
45105549975,ernisunar_08,12bj lap kecil,(12bj) lap serbet dapur polos motif kotak kotak serbaguna grosir,5,,2025-05-29 11:47:34
45105507535,9w7awfcf_7,Tempat bumbu amanda,Tempat bumbu dapur isi 4 plastik amanda plus sendok,5,,2025-05-29 11:45:02
45105449394,irsyadyulipingi,12bj T80,(12pcs) Gosok panci stainless cuci piring Merk VA-50 anti karat 18 gram,2,"Kalau gak di bungkus kardus, minimal packing yg rapi, dan minimalisir kerusakan, paket bisa saja saya return, tapi saya masih punya rasa kasihan. Tolong perbaiki packingnya ,biar paket datang setidaknya minim kerusakan",2025-05-29 11:41:17
45105428824,dah_s4oza6,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 11:40:04
45105412739,mujian1223,Buku tabungan,Bukut tabungan murah isi 12 halaman warna warni grosir,5,,2025-05-29 11:38:56
45105390350,maulidacerbik,Piring seng besar,Piring makan seng jadul 22 cm kualitas import bahan enamel kembang cat halus tebal - pirng seng murah grosir,5,,2025-05-29 11:38:32
45104788682,davajelani,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-05-29 11:32:05
45104661745,anis_mulyani,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 11:30:50
45104076461,paijopaimin468,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,4,,2025-05-29 11:27:05
45104030848,_*****a,Payung anak,Payung anak karkter murah diameter 64 cm - Payung anak grosir,4,Warna:random. Ketahanan:ideal untuk kondisi hujan. Cocok untuk:semua. Barang sesuai pesanan harganya murah kualitas nya bgus,2025-05-29 11:25:14
45103970778,milafadhilah495,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,4,,2025-05-29 11:24:43
45103579055,5y7q_kds7u,Basi segi brokoli,Basi prasmanan segi brokoli capucino plus tutup grosir,5,,2025-05-29 11:21:40
45103306588,2xop_ejm85,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,5,,2025-05-29 11:19:08
45103297815,meilanicandrapratiwi,Rak horaz sudut,Rak plastik susun 3 horraz capucino - Rak kosmetik bumbu serbaguna,4,,2025-05-29 11:19:03
45103284058,meilanicandrapratiwi,T.S. MICYKO,Tempat sendok alat tulis omicko plastik grosir,4,,2025-05-29 11:18:54
45103193684,nispiaprilliyanti,1bks peniti swan,(1bks) peniti swan putih bagus semua ukuran grosir,5,"Warna:silver. Desain:baik. Kualitas:baik. Alat ini sangat membantu dalam pekerjaan rumah sehari-hari. Mudah digunakan dan hasilnya memuaskan. Pengemasan produk sangat aman, tidak ada kerusakan. Penjual juga memberikan petunjuk penggunaan yang jelas. Sudah dicoba dan sangat puas dengan hasilnya.""",2025-05-29 11:18:08
45103193680,nispiaprilliyanti,10bks korek pelangi,(10bks) korek batang kayu jadul gambar grosir,5,"Desain:menarik. Kualitas:baik. Keaslian:originally. Alat ini sangat membantu dalam pekerjaan rumah sehari-hari. Mudah digunakan dan hasilnya memuaskan. Pengemasan produk sangat aman, tidak ada kerusakan. Penjual juga memberikan petunjuk penggunaan yang jelas. Sudah dicoba dan sangat puas dengan hasilnya.""",2025-05-29 11:18:08
45102984145,nispiaprilliyanti,1pk lilin panda,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,"Ukuran:pas. Desain:baik. Kualitas:baik. Alat ini sangat membantu dalam pekerjaan rumah sehari-hari. Mudah digunakan dan hasilnya memuaskan. Pengemasan produk sangat aman, tidak ada kerusakan. Penjual juga memberikan petunjuk penggunaan yang jelas. Sudah dicoba dan sangat puas dengan hasilnya.""",2025-05-29 11:18:08
45102928427,dewi_arina,Kitchen set monaco,Kitchen set - Rak bumbu susun 2 monaco tempel 7 toples tampa sendok,5,,2025-05-29 11:15:51
45101772231,suwandii88,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-05-29 11:05:42
45101734966,selvia.banjarsari,12bj Sendok biasa,Sendok makan stainless berat 15 gram grosir per 1 lusin (12pcs),5,,2025-05-29 11:05:26
45101734960,selvia.banjarsari,TS vtr,Tempat surat segi panjang VTR tebal dx warna cerah,5,,2025-05-29 11:05:26
45101734951,selvia.banjarsari,Stand gelas O kecil,Stand gelas bulet kecil isi 6 prkatis - tempat gelas kecil plastik,5,,2025-05-29 11:05:26
